"ADM3_PCODE","ADM3_EN","ADM2_EN","ADM1_EN","est","lower","upper","pop_u5","n_stunted","cum_share"
"MG52516151","Andalatanosy","Antanimora Sud","Androy",0.445601824539101,0.352803262801562,0.537090156255935,7243.29296875,3227.62456254624,0.234481837024077
"MG12114050","Ampitatafika","Antanifotsy","Vakinankaratra",0.59009088947588,0.506637940114748,0.66837838830663,5362.19189453125,3164.1805845843,0.236346561253812
"MG51520310","Ankililoaka","Toliary-II","Atsimo Andrefana",0.299860831226586,0.214172527820356,0.402098542985417,10417.501953125,3123.80079496865,0.238187488746895
"MG13112111","Analavory","Miarinarivo","Itasy",0.44656255722404,0.369493273820176,0.524413694400201,6941.61962890625,3099.86741276096,0.240014311748623
"MG25213390","Etrotroka Atsimo","Farafangana","Atsimo Atsinanana",0.477522495604396,0.403074022605226,0.550001423118215,6425.4560546875,3068.29981063075,0.241822531238005
"MG25213350","Ankarana Miraihina","Farafangana","Atsimo Atsinanana",0.507148075666469,0.418056469444556,0.592285975758672,6027.16259765625,3056.66391313028,0.243623893425972
"MG32305210","Antsiatsiaka","Fenerive Est","Analanjirofo",0.395598913102314,0.298697164131637,0.507567071772224,7705.521484375,3048.29592410528,0.245420324165979
"MG52518230","Bekitro","Bekily","Androy",0.383557772125857,0.299144117239094,0.473443732227579,7946.3837890625,3047.89726258984,0.247216519965606
"MG12118370","Antanambao","Antsirabe II","Vakinankaratra",0.609394372107635,0.515080532796835,0.694090058570933,4975.51123046875,3032.04854220599,0.249003375750616
"MG12118332","Mandrosohasina","Antsirabe II","Vakinankaratra",0.580323221089416,0.494352316503756,0.669676870006902,5218.248046875,3028.27051500606,0.2507880050575
"MG25222031","Marovitsika Sud","Befotaka","Atsimo Atsinanana",0.558110480080273,0.428601262919922,0.679273677535486,5413.87646484375,3021.54119288923,0.252568668620436
"MG51507290","Fotadrevo","Ampanihy Ouest","Atsimo Andrefana",0.341041259262831,0.263490875190852,0.426582359678475,8832.390625,3012.20962105123,0.254343832873949
"MG53519010","Amboasary Atsimo","Amboasary-Atsimo","Anosy",0.51380496239286,0.432096059136894,0.595553847312098,5774.7333984375,2967.08667661297,0.256092405140828
"MG23212031","Vohitrindry","Vohipeno","Fitovinany",0.453729909538625,0.354875616489686,0.545048352187466,6533.72265625,2964.54538977077,0.257839479769054
"MG13105230","Ambohimandry","Arivonimamo","Itasy",0.562002118214835,0.485273025471897,0.634668168900772,5273.93408203125,2963.96212542698,0.259586210666218
"MG14119031","Firavahana","Fenoarivobe","Bongolava",0.504329340421575,0.409353984461328,0.600613552868053,5844.25732421875,2947.4304415772,0.261323199062721
"MG11103410","Anjanadoria","Ambohidratrimo","Analamanga",0.517298934042963,0.410144156566611,0.624909248839346,5682.17578125,2939.38347468537,0.263055445196975
"MG51520072","Behompy","Toliary-II","Atsimo Andrefana",0.297433951087317,0.209600545564498,0.394775778329791,9702.7333984375,2885.92233104413,0.264756185452461
"MG22203150","Tsarasaotra","Ambositra","Amoron I Mania",0.540928122861533,0.459691705302289,0.615558504566112,5303.19873046875,2868.64933443413,0.266446746334666
"MG25214132","Ampataka","Vangaindrano","Atsimo Atsinanana",0.523839037798638,0.430114308083345,0.622335940944169,5447.6474609375,2853.69040420369,0.26812849157601
"MG22204150","Sandrandahy","Fandriana","Amoron I Mania",0.563868372166052,0.483395866067925,0.635099882126703,5027.42333984375,2834.80501482731,0.269799107224015
"MG11103270","Ambohimanjaka","Ambohidratrimo","Analamanga",0.530311733077579,0.440441964456724,0.619994687352384,5303.365234375,2812.43680858479,0.271456540774779
